loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,recoveries,collection_recovery_fee
21000,36,0.16549999,744.02,D,D2,2 years,MORTGAGE,93000,Source Verified,Fully Paid,debt_consolidation,21.97,0,665,669,3,71,0,0
30000,36,0.1033,972.68,B,B1,< 1 year,RENT,120000,Source Verified,Current,other,8.59,0,710,714,0,-1,0,0
30000,36,0.08189999,942.73,A,A4,10+ years,OWN,100000,Source Verified,Current,debt_consolidation,14.1,0,725,729,0,30,0,0
15000,36,0.0999,483.94,B,B3,7 years,RENT,35000,Verified,Fully Paid,debt_consolidation,32.92,0,690,694,0,-1,0,0
24000,60,0.1691,595.31,C,C5,10+ years,RENT,93000,Source Verified,Current,debt_consolidation,37.8,0,725,729,1,38,0,0
12000,36,0.1774,432.27,C,C5,3 years,OWN,68000,Source Verified,Current,credit_card,39.69,1,685,689,0,5,0,0
21600,60,0.1367,498.91,B,B5,< 1 year,MORTGAGE,100000,Verified,Fully Paid,debt_consolidation,16.49,0,700,704,0,-1,0,0
24000,60,0.1274,542.89,C,C1,6 years,MORTGAGE,62800,Not Verified,Current,debt_consolidation,12.84,0,720,724,1,77,0,0
26000,60,0.0999,552.3,B,B3,10+ years,MORTGAGE,84828,Source Verified,Fully Paid,credit_card,24.36,0,685,689,0,-1,0,0
11500,36,0.1308,387.93,B,B5,4 years,RENT,29500,Not Verified,Current,debt_consolidation,15.54,0,695,699,0,-1,0,0
9750,36,0.171,348.1,C,C5,< 1 year,MORTGAGE,61000,Source Verified,Fully Paid,debt_consolidation,12.22,2,705,709,2,18,0,0
15000,36,0.20989999,565.05,E,E4,5 years,MORTGAGE,54000,Not Verified,Fully Paid,debt_consolidation,25.69,0,665,669,1,-1,0,0
12750,60,0.1261,287.57,C,C1,,MORTGAGE,1000,Not Verified,Charged Off,credit_card,559.04,0,770,774,1,-1,0,0
10000,36,0.1359,339.79,C,C2,< 1 year,RENT,40000,Not Verified,Fully Paid,credit_card,24.48,0,730,734,0,-1,0,0
10000,60,0.12979999,227.43,B,B5,4 years,RENT,33000,Source Verified,Fully Paid,other,26.44,0,710,714,1,-1,0,0
20000,36,0.0881,634.23,A,A5,10+ years,MORTGAGE,170000,Source Verified,Current,credit_card,38.75,0,710,714,0,-1,0,0
18000,60,0.14649999,424.92,C,C5,10+ years,RENT,70000,Source Verified,Fully Paid,debt_consolidation,13.58,0,690,694,0,41,0,0
2400,36,0.1308,80.96,B,B5,4 years,MORTGAGE,120000,Not Verified,Fully Paid,medical,24.35,0,705,709,0,40,0,0
10000,36,0.1273,335.65,B,B5,6 years,RENT,36,Verified,Current,credit_card,999,1,670,674,0,6,0,0
28000,36,0.20889999,1053.33,D,D4,2 years,MORTGAGE,39000,Not Verified,Current,debt_consolidation,14.06,0,670,674,0,26,0,0
10000,36,0.082399994,314.48,B,B1,< 1 year,MORTGAGE,85000,Not Verified,Fully Paid,major_purchase,5.88,0,790,794,0,-1,0,0
35000,60,0.099300005,742.45,B,B2,< 1 year,MORTGAGE,56000,Verified,Current,debt_consolidation,29.1,0,730,734,1,-1,0,0
11800,36,0.1333,399.47,C,C3,3 years,RENT,42000,Not Verified,Charged Off,debt_consolidation,25.77,0,670,674,2,-1,731.41,131.6538
24000,36,0.053200003,722.76,A,A1,1 year,MORTGAGE,120000,Source Verified,Charged Off,credit_card,11.87,0,695,699,1,32,0,0
37500,36,0.070199996,1158.24,A,A2,< 1 year,RENT,144000,Source Verified,Late (16-30 days),credit_card,9.95,0,730,734,0,-1,0,0
15600,60,0.1499,371.05,C,C5,2 years,RENT,66000,Source Verified,Fully Paid,debt_consolidation,22.82,0,665,669,1,52,0,0
20000,60,0.1903,519.15,D,D3,10+ years,RENT,135000,Source Verified,Current,debt_consolidation,8.48,0,690,694,0,-1,0,0
12000,60,0.1399,279.16,C,C4,10+ years,OWN,69900,Not Verified,Charged Off,credit_card,16.15,1,665,669,0,15,1217.14,219.0852
14725,36,0.1308,496.72,B,B5,< 1 year,OWN,65000,Source Verified,Current,credit_card,23.95,0,665,669,4,-1,0,0
30000,60,0.26770002,911.95,E,E5,3 years,MORTGAGE,70000,Not Verified,Fully Paid,debt_consolidation,30.17,0,700,704,1,-1,0,0
15600,60,0.1367,360.33,C,C3,< 1 year,RENT,49602,Verified,Current,credit_card,28.79,0,705,709,1,47,0,0
15000,36,0.21450001,568.6,D,D5,10+ years,MORTGAGE,42000,Not Verified,In Grace Period,credit_card,50.49,0,660,664,1,31,0,0
10000,36,0.1102,327.49,B,B2,10+ years,OWN,54000,Verified,Current,home_improvement,31.47,2,690,694,0,7,0,0
40000,36,0.0881,1268.46,A,A5,1 year,RENT,92000,Not Verified,Current,debt_consolidation,28.71,0,710,714,0,-1,0,0
13000,60,0.1019,277.43,A,A4,1 year,MORTGAGE,198000,Verified,Current,other,12.93,0,780,784,0,-1,0,0
20000,36,0.0999,645.25,B,B3,8 years,RENT,135000,Source Verified,Fully Paid,debt_consolidation,21.12,0,685,689,1,54,0,0
25000,60,0.0846,512.44,A,A5,9 years,MORTGAGE,94000,Not Verified,Current,credit_card,25.34,0,680,684,0,-1,0,0
6200,36,0.1099,202.96,B,B4,6 years,RENT,17300,Verified,Fully Paid,debt_consolidation,20.89,0,695,699,0,-1,0,0
33000,36,0.0796,1033.5,A,A5,10+ years,MORTGAGE,150000,Verified,Current,debt_consolidation,17.26,0,715,719,1,36,0,0
40000,60,0.1102,870.1,B,B2,10+ years,MORTGAGE,218000,Source Verified,Current,debt_consolidation,10.71,0,795,799,0,-1,0,0
18000,36,0.0739,559.01,A,A4,10+ years,MORTGAGE,72000,Not Verified,Fully Paid,debt_consolidation,2.02,2,660,664,0,18,0,0
14450,36,0.16950001,514.83,C,C4,6 years,RENT,115000,Source Verified,Current,other,9.67,0,680,684,1,55,0,0
7000,36,0.0999,225.84,B,B3,< 1 year,MORTGAGE,24000,Source Verified,Fully Paid,debt_consolidation,9.25,0,710,714,1,-1,0,0
3600,36,0.1774,129.68,C,C5,10+ years,MORTGAGE,55000,Source Verified,Current,credit_card,21.41,0,660,664,0,-1,0,0
4000,36,0.1008,129.22,B,B1,10+ years,MORTGAGE,52000,Source Verified,Current,home_improvement,9.32,0,765,769,0,-1,0,0
1000,36,0.22950001,38.69,F,F1,< 1 year,RENT,15360,Not Verified,Fully Paid,medical,13.75,0,665,669,2,43,0,0
24000,60,0.0739,479.66,A,A4,4 years,RENT,65000,Not Verified,Charged Off,debt_consolidation,18.89,0,760,764,0,-1,0,0
15000,36,0.1122,492.65,B,B5,< 1 year,RENT,65000,Verified,Charged Off,debt_consolidation,22.43,0,715,719,0,-1,334.14,60.1452
12000,36,0.1408,410.6,C,C3,6 years,RENT,56200,Verified,Charged Off,debt_consolidation,25.3,0,675,679,1,-1,780.42,140.4756
7000,36,0.1205,232.67,C,C1,10+ years,MORTGAGE,56000,Verified,Fully Paid,debt_consolidation,13.42,0,675,679,1,72,0,0
6000,36,0.0784,187.58,A,A4,8 years,MORTGAGE,65000,Not Verified,Current,major_purchase,19.24,0,735,739,0,-1,0,0
20000,36,0.1149,659.43,B,B5,8 years,OWN,101000,Source Verified,Fully Paid,debt_consolidation,28.79,0,715,719,0,-1,0,0
9600,36,0.069699995,296.29,A,A3,10+ years,RENT,40000,Source Verified,Fully Paid,debt_consolidation,16.8,0,715,719,0,29,0,0
15000,60,0.1699,372.71,D,D1,3 years,RENT,82360,Verified,Current,debt_consolidation,30.68,0,660,664,1,54,0,0
2800,36,0.1102,91.7,B,B2,10+ years,MORTGAGE,53000,Source Verified,Current,other,24.16,1,690,694,1,18,0,0
18000,36,0.124,601.31,B,B4,10+ years,RENT,74000,Source Verified,Current,debt_consolidation,17.39,0,670,674,0,-1,0,0
5000,36,0.0734,155.17,A,A4,2 years,MORTGAGE,30000,Not Verified,Current,credit_card,3.44,0,740,744,0,-1,0,0
24000,36,0.1102,785.96,B,B2,1 year,RENT,38600,Not Verified,Current,credit_card,35.11,0,665,669,0,24,0,0
4000,36,0.119899996,132.84,C,C1,10+ years,MORTGAGE,48000,Source Verified,Fully Paid,home_improvement,27.18,0,675,679,0,49,0,0
40000,36,0.1106,1310.69,B,B3,< 1 year,MORTGAGE,200000,Not Verified,Current,debt_consolidation,15.23,0,715,719,1,35,0,0
15600,60,0.1416,364.29,C,C2,10+ years,RENT,54000,Source Verified,Charged Off,debt_consolidation,17.69,0,700,704,0,39,0,0
40000,60,0.119899996,889.58,B,B5,10+ years,MORTGAGE,140000,Verified,Current,debt_consolidation,18.58,0,715,719,0,-1,0,0
13800,60,0.1155,303.85,B,B4,2 years,MORTGAGE,62000,Source Verified,Current,other,35.5,0,715,719,0,-1,0,0
22000,60,0.1033,471.02,B,B1,1 year,MORTGAGE,240000,Not Verified,Current,debt_consolidation,13.32,1,725,729,0,3,0,0
6000,36,0.0799,188,A,A5,4 years,MORTGAGE,110000,Not Verified,Fully Paid,credit_card,12.94,5,690,694,2,12,0,0
30000,60,0.1407,699.14,C,C3,9 years,MORTGAGE,75000,Source Verified,Fully Paid,debt_consolidation,16.38,0,665,669,0,-1,0,0
24000,36,0.1447,825.76,C,C2,< 1 year,MORTGAGE,156000,Verified,Fully Paid,debt_consolidation,22.82,0,660,664,0,-1,0,0
10000,36,0.124,334.06,B,B4,1 year,RENT,64450,Not Verified,Current,debt_consolidation,9.72,0,695,699,0,-1,0,0
20000,36,0.061100002,609.44,A,A1,6 years,RENT,90000,Source Verified,Current,credit_card,19.51,0,680,684,0,31,0,0
9000,36,0.15100001,312.43,C,C2,10+ years,MORTGAGE,94000,Verified,Fully Paid,debt_consolidation,17.44,3,660,664,1,2,0,0
10625,60,0.1308,242.19,B,B5,10+ years,MORTGAGE,150000,Source Verified,Current,credit_card,16.67,1,690,694,1,12,0,0
12000,36,0.0917,382.55,B,B2,10+ years,RENT,75000,Not Verified,Fully Paid,debt_consolidation,9.22,0,725,729,0,36,0,0
20500,36,0.094399996,656.11,B,B1,3 years,OWN,95000,Verified,Current,debt_consolidation,19.86,2,690,694,0,2,0,0
16000,60,0.1505,381.06,C,C4,7 years,MORTGAGE,45000,Source Verified,Current,debt_consolidation,34.32,1,690,694,0,20,0,0
19950,36,0.1367,678.66,B,B5,2 years,MORTGAGE,60000,Verified,Fully Paid,debt_consolidation,34.42,0,710,714,1,-1,0,0
28350,60,0.1308,646.22,B,B5,,MORTGAGE,40000,Not Verified,Current,home_improvement,22.2,2,720,724,0,10,0,0
12000,36,0.162,423.08,C,C4,3 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,18.23,0,685,689,0,-1,0,0
28000,60,0.2474,817.58,E,E3,6 years,MORTGAGE,135000,Not Verified,Fully Paid,debt_consolidation,18.35,0,665,669,0,47,0,0
32000,36,0.1033,1037.52,B,B1,10+ years,MORTGAGE,39000,Verified,Current,debt_consolidation,61.94,1,730,734,0,18,0,0
28200,60,0.124,633.01,B,B4,10+ years,RENT,76000,Source Verified,Current,debt_consolidation,20.4,0,710,714,2,26,0,0
10000,60,0.1524,239.17,C,C2,,RENT,60000,Not Verified,Current,debt_consolidation,17.97,0,660,664,0,-1,0,0
24000,36,0.2565,962.51,D,D4,3 years,RENT,45000,Not Verified,Current,debt_consolidation,31.68,0,675,679,1,-1,0,0
35000,36,0.1727,1252.56,D,D2,4 years,RENT,105000,Source Verified,Charged Off,home_improvement,14.3,1,675,679,2,18,2532.41,455.8338
12000,36,0.17969999,433.65,D,D1,,RENT,71724,Not Verified,Current,debt_consolidation,4.82,0,670,674,0,-1,0,0
20400,36,0.1041,662.19,B,B3,1 year,RENT,41150,Source Verified,Fully Paid,debt_consolidation,19.01,0,680,684,0,-1,0,0
12000,60,0.1894,310.9,D,D2,10+ years,RENT,89000,Not Verified,Fully Paid,other,19.4,0,730,734,1,45,0,0
5000,36,0.1149,164.86,B,B5,2 years,RENT,63000,Verified,Fully Paid,moving,19.14,0,690,694,1,-1,0,0
20000,36,0.1106,655.35,B,B3,< 1 year,RENT,130000,Not Verified,Current,credit_card,23.66,1,665,669,0,11,0,0
12000,36,0.099300005,386.82,B,B2,4 years,RENT,173000,Not Verified,Current,debt_consolidation,12.4,2,670,674,0,24,0,0
10375,60,0.19520001,272.12,E,E2,< 1 year,RENT,29000,Source Verified,Fully Paid,debt_consolidation,18.38,0,665,669,1,-1,0,0
9000,36,0.1099,294.61,B,B3,7 years,RENT,39312,Source Verified,Fully Paid,debt_consolidation,18.16,0,685,689,0,25,0,0
4475,36,0.1999,166.29,D,D4,,RENT,22000,Verified,Fully Paid,car,8.07,0,675,679,0,-1,0,0
10000,36,0.2235,383.72,D,D5,< 1 year,MORTGAGE,60000,Source Verified,Current,major_purchase,30.22,3,700,704,0,11,0,0
15000,36,0.070199996,463.3,A,A2,< 1 year,RENT,65000,Not Verified,Current,credit_card,17.19,0,760,764,0,-1,0,0
26200,60,0.26299998,789.11,E,E5,10+ years,RENT,70000,Verified,Fully Paid,credit_card,28,4,660,664,0,11,0,0
6000,36,0.094399996,192.03,B,B1,10+ years,MORTGAGE,62000,Not Verified,Current,debt_consolidation,4.43,0,670,674,1,-1,0,0
40000,36,0.0881,1268.46,A,A5,10+ years,MORTGAGE,56000,Verified,Fully Paid,debt_consolidation,51.37,0,700,704,1,-1,0,0
8825,36,0.20549999,330.45,D,D2,10+ years,MORTGAGE,50000,Verified,Current,home_improvement,2.93,1,665,669,0,13,0,0
25000,36,0.1899,916.28,D,D3,2 years,RENT,68000,Source Verified,Fully Paid,debt_consolidation,21.16,0,700,704,0,57,0,0
3000,36,0.1599,105.46,C,C5,10+ years,MORTGAGE,47670,Verified,Fully Paid,credit_card,20.42,0,715,719,1,-1,0,0
10000,36,0.1367,340.18,B,B5,1 year,RENT,56000,Not Verified,Fully Paid,debt_consolidation,29.85,2,675,679,0,20,0,0
29000,36,0.0712,897.03,A,A3,10+ years,MORTGAGE,130000,Verified,Fully Paid,debt_consolidation,4.21,0,695,699,0,40,0,0
30000,60,0.1602,729.87,C,C5,10+ years,MORTGAGE,74824,Source Verified,Charged Off,debt_consolidation,14.21,0,695,699,0,65,0,0
30000,36,0.1408,1026.5,C,C3,,OWN,24696,Verified,Fully Paid,credit_card,33.53,0,680,684,0,24,0,0
12000,36,0.1568,420.02,E,E1,3 years,RENT,45996,Not Verified,Fully Paid,debt_consolidation,4.04,0,665,669,0,33,0,0
11500,36,0.113900006,378.63,B,B3,< 1 year,MORTGAGE,70000,Source Verified,Fully Paid,debt_consolidation,14.36,2,675,679,1,3,0,0
34200,60,0.1894,886.04,D,D2,10+ years,RENT,63536,Verified,Charged Off,other,23.38,0,705,709,0,-1,0,0
13775,60,0.1531,329.96,C,C4,7 years,RENT,49500,Verified,Fully Paid,credit_card,29.24,0,670,674,2,56,0,0
3400,36,0.066199996,104.4,A,A2,10+ years,RENT,35000,Verified,Fully Paid,debt_consolidation,7.47,0,790,794,1,-1,0,0
40000,36,0.061100002,1218.88,A,A1,4 years,MORTGAGE,65000,Not Verified,Current,debt_consolidation,29.16,0,780,784,0,-1,0,0
24000,60,0.1349,552.12,C,C2,10+ years,RENT,75000,Not Verified,Fully Paid,debt_consolidation,22.8,0,730,734,0,29,0,0
2500,36,0.0672,76.88,A,A3,5 years,RENT,75000,Source Verified,Fully Paid,car,11.66,0,695,699,0,-1,0,0
36000,36,0.0749,1119.66,A,A4,,MORTGAGE,80000,Verified,Fully Paid,debt_consolidation,12.18,0,705,709,1,-1,0,0
12500,60,0.1008,266.09,B,B1,4 years,RENT,37200,Source Verified,Current,credit_card,24.77,0,735,739,1,-1,0,0
3000,36,0.0881,95.14,A,A5,5 years,OWN,61920,Source Verified,Current,credit_card,28.6,0,700,704,3,-1,0,0
17000,36,0.0756,529.28,A,A3,2 years,MORTGAGE,61526,Source Verified,Current,credit_card,29.49,0,790,794,0,-1,0,0
21200,60,0.2408,610.87,F,F2,8 years,RENT,96000,Verified,Charged Off,other,3.86,0,685,689,2,-1,2901.54,29.004
30000,36,0.1359,1019.37,C,C2,4 years,MORTGAGE,67000,Verified,Fully Paid,debt_consolidation,36,0,660,664,1,40,0,0
15000,36,0.108100004,489.74,A,A5,6 years,RENT,75000,Not Verified,Current,debt_consolidation,14.72,0,685,689,1,-1,0,0
10000,60,0.1498,237.8,C,C3,2 years,RENT,70000,Source Verified,Fully Paid,debt_consolidation,27.45,0,685,689,0,38,0,0
5000,36,0.1894,183.13,D,D2,6 years,MORTGAGE,41500,Source Verified,Current,home_improvement,2.17,0,670,674,0,48,0,0
28700,60,0.3079,942.52,G,G1,6 years,MORTGAGE,29367,Verified,Fully Paid,credit_card,66.57,0,710,714,0,-1,0,0
15500,36,0.118,513.35,B,B4,2 years,RENT,65000,Not Verified,Fully Paid,debt_consolidation,18.93,0,690,694,0,36,0,0
12000,60,0.1499,285.42,C,C5,3 years,RENT,55000,Source Verified,Fully Paid,debt_consolidation,24.44,0,665,669,0,40,0,0
8275,36,0.1505,287.06,C,C4,3 years,RENT,51000,Not Verified,Fully Paid,debt_consolidation,16.38,0,675,679,0,46,0,0
11200,60,0.143,262.35,C,C1,< 1 year,MORTGAGE,50000,Not Verified,Current,debt_consolidation,17.91,0,750,754,1,59,0,0
18275,36,0.1899,669.8,D,D3,10+ years,MORTGAGE,46000,Source Verified,Charged Off,debt_consolidation,31.58,0,670,674,0,48,0,0
16000,36,0.0756,498.15,A,A3,7 years,MORTGAGE,65000,Not Verified,Fully Paid,home_improvement,12.14,0,695,699,1,65,0,0
10000,36,0.2565,401.05,D,D4,,MORTGAGE,72000,Not Verified,Current,credit_card,24.92,0,670,674,1,-1,0,0
8000,36,0.1505,277.52,C,C4,10+ years,RENT,71484,Source Verified,Current,credit_card,5.49,0,660,664,0,68,0,0
2400,36,0.118,79.49,B,B4,1 year,RENT,40000,Not Verified,Charged Off,medical,24.66,0,750,754,0,-1,50,9
7500,36,0.082399994,235.86,B,B1,3 years,RENT,25000,Not Verified,Fully Paid,debt_consolidation,10.03,0,735,739,1,38,0,0
28000,60,0.08189999,570.29,A,A4,10+ years,MORTGAGE,140000,Not Verified,Current,debt_consolidation,11.07,0,700,704,0,72,0,0
10000,36,0.1102,327.49,B,B2,,MORTGAGE,42000,Source Verified,Fully Paid,debt_consolidation,0.77,0,745,749,1,-1,0,0
4000,36,0.1649,141.6,D,D3,1 year,RENT,35000,Source Verified,Fully Paid,moving,22.12,0,700,704,1,-1,0,0
14000,60,0.202,372.48,D,D5,10+ years,RENT,59000,Verified,Fully Paid,debt_consolidation,11.53,0,670,674,0,52,0,0
10000,36,0.0699,308.73,A,A2,8 years,MORTGAGE,564000,Source Verified,Fully Paid,credit_card,1.87,0,755,759,0,-1,0,0
9000,36,0.0756,280.21,A,A3,5 years,MORTGAGE,95189,Not Verified,Current,credit_card,29.41,0,785,789,0,-1,0,0
4000,36,0.1699,142.6,D,D3,2 years,RENT,32000,Verified,Fully Paid,other,15.68,0,685,689,0,58,0,0
3950,36,0.1849,143.78,E,E2,2 years,MORTGAGE,38000,Verified,Fully Paid,debt_consolidation,12.57,0,670,674,2,54,0,0
16000,36,0.1262,536.18,C,C1,5 years,RENT,40000,Source Verified,Fully Paid,credit_card,27.51,0,675,679,0,35,0,0
11000,60,0.1308,250.74,B,B5,10+ years,MORTGAGE,90000,Source Verified,Current,major_purchase,21.03,0,705,709,3,-1,0,0
7000,36,0.094399996,224.04,B,B1,10+ years,MORTGAGE,60000,Not Verified,Fully Paid,credit_card,33.74,0,755,759,0,-1,0,0
6000,36,0.08189999,188.55,A,A4,5 years,MORTGAGE,46000,Not Verified,Current,debt_consolidation,14.17,1,725,729,0,10,0,0
9000,36,0.1171,297.69,B,B3,< 1 year,RENT,93000,Source Verified,Current,credit_card,13.92,1,680,684,1,7,0,0
8000,36,0.1144,263.58,B,B4,1 year,RENT,33000,Not Verified,Charged Off,credit_card,15.6,0,675,679,1,40,343.44,61.8192
35000,36,0.26299998,1415.78,E,E5,< 1 year,OWN,81000,Verified,Charged Off,home_improvement,40.71,0,690,694,1,57,0,0
36425,60,0.1367,841.33,C,C3,2 years,RENT,76000,Source Verified,Current,debt_consolidation,12.85,0,710,714,0,-1,0,0
6000,36,0.08180001,188.52,B,B1,< 1 year,RENT,70000,Not Verified,Fully Paid,credit_card,13.66,0,730,734,0,-1,0,0
6300,36,0.1269,211.34,C,C2,10+ years,OWN,50000,Not Verified,Fully Paid,car,25.44,1,740,744,1,22,0,0
12000,60,0.216,328.71,E,E3,4 years,RENT,55000,Verified,Fully Paid,debt_consolidation,17.5,0,670,674,0,28,0,0
26000,60,0.0735,519.14,A,A4,< 1 year,OWN,121000,Not Verified,Current,debt_consolidation,19.21,0,810,814,0,-1,0,0
10000,36,0.1899,366.51,D,D3,3 years,OWN,39000,Verified,Charged Off,debt_consolidation,23.38,1,675,679,0,21,2701.52,486.2736
4000,36,0.1358,135.9,C,C2,,RENT,26300,Not Verified,Current,credit_card,38.46,1,660,664,1,23,0,0
4000,36,0.1153,131.97,B,B5,5 years,MORTGAGE,28800,Not Verified,Fully Paid,debt_consolidation,37.87,0,700,704,0,25,0,0
12000,36,0.16290002,423.61,D,D2,10+ years,MORTGAGE,42000,Source Verified,Charged Off,debt_consolidation,24.03,0,675,679,1,-1,0,0
10800,36,0.1008,348.9,B,B1,10+ years,MORTGAGE,95000,Source Verified,Fully Paid,home_improvement,1.21,0,705,709,0,-1,0,0
24000,60,0.15609999,578.68,C,C5,10+ years,MORTGAGE,125000,Verified,Fully Paid,credit_card,2.48,0,685,689,0,49,0,0
4000,36,0.0799,125.33,A,A4,< 1 year,MORTGAGE,70000,Source Verified,Fully Paid,medical,21.48,0,720,724,0,28,0,0
7000,36,0.0999,225.84,B,B3,7 years,MORTGAGE,33720,Not Verified,Fully Paid,home_improvement,23.7,0,705,709,0,-1,0,0
